"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Puerto Rico","PRI","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Corea, República Popular Democrática de","PRK","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.73","","0.55","","0.55","","0.78","","0.71","","0.76","","","","","","0.94","","0.58","","","","","",
"Portugal","PRT","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.02","","0.77","","0.97","","1.38","","1.56","","1.61","","1.85","","2.15","","1.89","","1.54","","","","","",
"Paraguay","PRY","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43","","","0.44","","","0.47","","0.72","","0.56","","0.62","","0.97","","1.17","","1.28","","1.74","","1.59","","1.04","","","","","",
"Ribera Occidental y Gaza","PSE","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.86","","1.08","","0.99","","1.17","","1.29","","1.34","","1.71","","1.87","","1.77","","1.54","","","","","",
"Estados pequeos de las Islas del Pacfico","PSS","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"posterior al dividendo demográfico","PST","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.905","","","0.775","","0.795","","0.88","","1.21","","1.3","","1.37","","1.63","","1.86","","1.69","","1.29","","","","","",
"Polinesia Francesa","PYF","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.49","","1.58","","1.7","","","","","","","","","","","",
"Qatar","QAT","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.16","","","","","","0.21","","0.19","","0.22","","0.19","","0.27","","0.23","","0.4","","","","","",
"Rumania","ROU","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.29","","","0.53","","0.46","","0.64","","0.96","","1.26","","1.11","","1.46","","1.7","","1.59","","1.16","","","","","",
"Federación de Rusia","RUS","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.35","","","0.28","","0.33","","0.35","","0.55","","0.77","","0.89","","0.84","","0.99","","0.81","","0.59","","","","","",
"Rwanda","RWA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.81","0.93","","","","","","0.72","","0.89","","0.84","","0.98","","1.11","","1.37","","1.63","","1.73","","1.41","","1.17","","","","","",
"Asia meridional","SAS","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.48","","","0.575","","0.59","","0.53","","0.72","","0.91","","1.09","","1.12","","1.22","","1.185","","0.91","","","","","",
"Arabia Saudita","SAU","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.16","","","0.16","","0.24","","0.24","","0.24","","0.16","","0.16","","0.16","","0.16","","0.16","","0.24","","","","","",
"Sudán","SDN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07","0.58","","","0.5","","","0.33","","0.28","","0.3","","0.47","","0.72","","0.65","","0.62","","0.63","","0.82","","0.95","","","","","",
"Senegal","SEN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.19","1.23","","","0.94","","","0.71","","0.73","","0.75","","1.1","","1.31","","1.35","","1.57","","1.72","","1.7","","1.14","","","","","",
"Singapur","SGP","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.61","","","","0.85","","","0.72","","0.84","","0.85","","0.89","","0.92","","1.07","","1.42","","1.68","","1.58","","1.25","","","","","",
"Islas Salomón","SLB","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sierra Leona","SLE","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.45","0.49","","","","","","0.61","","","","0.51","","0.76","","0.98","","0.91","","0.94","","1.05","","1.04","","1.08","","","","","",
"El Salvador","SLV","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.54","","0.67","","0.46","","0.65","","0.82","","0.78","","0.92","","1.26","","1.12","","0.83","","","","","",
"San Marino","SMR","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.35","","1.36","","0.74","","1.12","","","","","","","","1.41","","","","","",
"Serbia","SRB","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.76","","","0.61","","0.56","","0.74","","1","","1.45","","1.29","","1.5","","1.78","","1.55","","1.16","","","","","",
"África al sur del Sahara (excluido altos ingresos)","SSA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","0.62","","","0.56","","","0.59","","0.615","","0.66","","0.88","","1.035","","1.14","","1.245","","1.355","","1.32","","0.95","","","","","",
"Sudán del Sur","SSD","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.76","","1.59","","1.5","","1.97","","1.98","","0.28","","","","","",
"África al sur del Sahara","SSF","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","0.62","","","0.56","","","0.59","","0.615","","0.66","","0.88","","1.035","","1.14","","1.245","","1.355","","1.32","","0.95","","","","","",
"Pequeños Estados","SST","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.745","","","","0.91","","1.08","","1.4","","1.32","","1","","","","","",
"Santo Tomé y Príncipe","STP","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Suriname","SUR","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.56","","0.56","","0.56","","0.5","","0.94","","0.91","","1.14","","1.57","","1.29","","","","","","","",
"República Eslovaca","SVK","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.66","","","0.61","","0.69","","0.74","","1.17","","1.35","","1.57","","1.7","","1.98","","1.77","","1.32","","","","","",
"Eslovenia","SVN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.59","","","0.66","","0.63","","0.76","","1.12","","1.23","","1.18","","1.67","","1.86","","1.78","","1.32","","","","","",
"Suecia","SWE","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.17","","","1.09","","0.94","","1.06","","1.51","","1.46","","1.38","","1.87","","2.1","","1.82","","1.42","","","","","",
"Eswatini","SWZ","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.46","0.43","","","","","","0.37","","0.47","","","","0.76","","0.8","","0.86","","1.07","","1.3","","1.14","","0.77","","","","","",
"Sint Maarten (Dutch part)","SXM","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"República Árabe Siria","SYR","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.45","","0.44","","0.53","","0.46","","0.6","","0.85","","0.96","","0.79","","0.83","","","","","","","",
"Islas Turcas y Caicos","TCA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05","1.02","","","0.8","","","0.7","","0.68","","0.79","","1.17","","1.31","","1.3","","1.32","","0.95","","0.9","","0.78","","","","","",
"Asia oriental y el Pacífico (BIRF y la AIF)","TEA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.305","","","","","","0.54","","0.73","","0.92","","1.11","","1.31","","1.17","","0.84","","","","","",
"Europa y Asia central (BIRF y la AIF)","TEC","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.555","","","0.51","","0.55","","0.57","","0.825","","1.005","","1.13","","1.21","","1.45","","1.32","","1.03","","","","","",
"Togo","TGO","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.81","0.72","","","0.47","","","0.42","","0.48","","0.56","","0.85","","1.03","","0.89","","1.18","","1.16","","1.25","","0.71","","","","","",
"Tailandia","THA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.36","","","","0.34","","","0.3","","0.39","","0.36","","0.54","","0.7","","0.87","","1.41","","1.56","","1.29","","0.71","","","","","",
"Tayikistán","TJK","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","0.45","","0.36","","0.67","","0.8","","1.03","","1.02","","1.45","","1.32","","0.71","","","","","",
"Turkmenistán","TKM","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.09","","0.02","","0.02","","0.02","","0.02","","0.22","","0.22","","0.22","","0.22","","0.29","","","","","",
"América Latina y el Caribe (BIRF y la AIF)","TLA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","","0.47","","0.62","","0.54","","0.685","","0.89","","0.865","","1.03","","1.27","","1.19","","0.945","","","","","",
"Timor-Leste","TLS","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.65","","0.98","","1.22","","1.4","","1.65","","1.17","","1.1","","","","","",
"Oriente Medio y Norte de África (BIRF y la AIF)","TMN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.33","","0.355","","0.255","","0.39","","0.46","","0.55","","0.86","","0.79","","0.88","","0.73","","","","","",
"Tonga","TON","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Asia meridional (BIRF y la AIF)","TSA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.48","","","0.575","","0.59","","0.53","","0.72","","0.91","","1.09","","1.12","","1.22","","1.185","","0.91","","","","","",
"África al sur del Sahara (BIRF y la AIF)","TSS","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","0.62","","","0.56","","","0.59","","0.615","","0.66","","0.88","","1.035","","1.14","","1.245","","1.355","","1.32","","0.95","","","","","",
"Trinidad y Tobago","TTO","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.39","","0.39","","0.4","","0.35","","0.43","","0.36","","","","","","","","0.54","","","","","",
"Túnez","TUN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.58","0.52","","","0.64","","","0.6","","0.49","","0.29","","0.68","","0.83","","0.96","","0.94","","0.93","","0.91","","0.73","","","","","",
"Turquía","TUR","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.56","","","0.78","","0.88","","1.02","","1.44","","1.88","","1.87","","2.52","","2.54","","2.06","","1.42","","","","","",
"Tuvalu","TUV","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tanzanía","TZA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.42","0.43","","","0.56","","","0.63","","0.75","","0.67","","0.93","","1.04","","1.11","","1.22","","1.31","","1.29","","0.87","","","","","",
"Uganda","UGA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.69","0.79","","","0.98","","","0.86","","0.86","","0.83","","1.02","","1.17","","1.3","","1.42","","","","1.4","","0.94","","","","","",
"Ucrania","UKR","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.49","","0.37","","0.47","","0.55","","0.81","","0.88","","1.01","","1.35","","1.17","","0.83","","","","","",
"Ingreso mediano alto","UMC","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.46","","0.545","","0.52","","0.72","","0.88","","1.04","","1.13","","1.395","","1.29","","0.92","","","","","",
"Uruguay","URY","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.89","","","0.9","","1.19","","0.46","","1.13","","1.23","","1.18","","1.49","","1.97","","1.8","","1.5","","","","","",
"Estados Unidos","USA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","","","0.34","","","0.32","","0.47","","0.4","","0.54","","0.63","","0.56","","0.76","","0.97","","0.76","","0.71","","","","","",
"Uzbekistán","UZB","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","","","0.11","","0.14","","0.38","","0.35","","0.85","","1.35","","0.92","","1.02","","1.02","","1.03","","","","","",
"San Vicente y las Granadinas","VCT","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Venezuela","VEN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","0.14","","0.12","","0.05","","0.04","","0.03","","0.02","","0.023","","0.023","","0.015","","8E-05","","","","","",
"Islas Vírgenes Británicas","VGB","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas Vírgenes (EE.UU.)","VIR","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Viet Nam","VNM","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34","","","0.35","","0.38","","0.34","","0.48","","0.67","","0.8","","0.88","","1.15","","1.04","","0.8","","","","","",
"Vanuatu","VUT","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.31","","","","","",
"Mundo","WLD","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.54","","0.6","","0.58","","0.805","","0.98","","1.11","","1.22","","1.41","","1.34","","0.97","","","","","",
"Samoa","WSM","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.03","","","","","","0.91","","","","","",
"Kosovo","XKX","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.76","","","0.61","","0.56","","0.74","","1.16","","1.22","","1.1","","1.63","","1.65","","1.54","","1.11","","","","","",
"Yemen, Rep. del","YEM","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","0.21","","0.21","","0.19","","0.3","","0.3","","0.35","","0.58","","0.7","","0.92","","","","","",
"Sudáfrica","ZAF","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.52","","","0.51","","","0.43","","0.5","","0.43","","0.81","","0.85","","0.87","","1.19","","1.38","","1.19","","0.92","","","","","",
"Zambia","ZMB","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","0.72","","","0.6","","","0.53","","","","0.72","","1.1","","1.31","","1.7","","1.66","","1.48","","1.68","","1.4","","","","","",
"Zimbabwe","ZWE","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","0.47","","","0.38","","","0.26","","0.85","","0.05","","0.61","","","","1.3","","1.29","","1.52","","1.56","","1.34","","","","","",
